id,s.fisher.age,f.name,year,cpue_fisher,cpue_sci,time,type,cpue_diff_per
30,55,RG_parelha,2013,6666.666667,5130.875699,5,good,129.9323363
399,56,ubatuba_camrosa,2014,50,25.37746345,4,good,197.0252074
380,56,ubatuba_emalhe_tainha,2008,450,34.9570339,10,good,1287.294572
351,56,santos_camrosa,2010,85.71428571,56.0370485,8,good,152.9600291
323,56,santos_parelha_multisp,2010,3333.333333,2707.255942,8,good,123.1259033
93,56,RG_tangone,2009,740.7407407,2030.660549,9,good,36.47782201
32,56,RG_parelha,2011,10000,5025.350556,7,good,198.991093
923,57,Norte_armadilha,2011,1000,151.4770107,7,good,660.1661832
817,57,Norte_rede,2009,133.3333333,117.3683383,9,good,113.6024717
428,57,ubatuba_emalhe_corvina,2002,114.2857143,615.6413093,16,good,18.56368515
425,57,ubatuba_camrosa,2015,30,25.41878325,3,good,118.0229585
415,57,ubatuba_parelha_cam7b,2012,800,39.71106667,6,good,2014.551779
334,57,santos_parelha_multisp,2010,3214.285714,2707.255942,8,good,118.7285496
332,57,santos_parelha_multisp,2014,2857.142857,2738.744879,4,good,104.3230744
331,57,santos_parelha_multisp,2011,4285.714286,2714.793785,7,good,157.865187
213,57,santos_parelha_cam7b,2008,333.3333333,261.7314467,10,good,127.3570056
90,57,RG_emalhe,2012,1500,1875.754363,6,good,79.96782679
12,57,RG_parelha,2011,6666.666667,5025.350556,7,good,132.6607287
894,58,Norte_armadilha,2008,200,205.8016791,10,good,97.18093695
773,58,RN_leste_arrasto,2009,150,62.28635019,9,good,240.8232294
652,58,PE_linha,2009,25,4.991738473,9,good,500.82752
630,58,PE_linha,2009,16.66666667,4.991738473,9,good,333.8850133
442,58,ubatuba_parelha_cam7b,2012,60,39.71106667,6,good,151.0913834
333,58,santos_parelha_multisp,2012,5000,2722.586234,6,good,183.6489121
315,58,cananeia_parelha_cam7b,2010,100,177.2613636,8,good,56.4138727
303,58,cananeia_parelha_cam7b,2010,100,177.2613636,8,good,56.4138727
62,58,RG_parelha,2010,4000,4970.813366,8,good,80.4697281
914,59,Norte_linha,2007,11.875,69.25188317,11,good,17.14754813
826,59,Norte_armadilha,2008,912,205.8016791,10,good,443.1450725
646,59,PE_linha,2010,35.71428571,5.454443093,8,good,654.7741924
641,59,PE_linha,2006,37.5,5.516400238,12,good,679.7911388
633,59,PE_linha,2008,10.41666667,4.87655419,10,good,213.607114
615,59,PE_linha,2009,7.5,4.991738473,9,good,150.248256
462,59,ubatuba_parelha_cam7b,2011,80,39.82053333,7,good,200.9013775
437,59,ubatuba_parelha_cam7b,2014,100,39.49213333,4,good,253.2149863
432,59,ubatuba_emalhe_tainha,2008,600,34.9570339,10,good,1716.392763
413,59,ubatuba_camrosa,2011,66.66666667,25.2609418,7,good,263.9120394
385,59,ubatuba_emalhe_corvina,2012,37.5,160.4316651,6,good,23.37443794
314,59,cananeia_emalhe_pescada,2011,150,118.1719114,7,good,126.9337173
870,60,Norte_linha,2008,66.66666667,75.04555301,10,good,88.83493291
834,60,Norte_rede,2009,300,117.3683383,9,good,255.6055614
832,60,Norte_rede,2009,300,117.3683383,9,good,255.6055614
787,60,Norte_rede,2009,100,117.3683383,9,good,85.2018538
655,60,PE_linha,2010,31.25,5.454443093,8,good,572.9274184
362,60,santos_camrosa,2008,111.1111111,54.71630547,10,good,203.0676416
330,60,santos_parelha_multisp,2016,2857.142857,2755.355195,2,good,103.6941757
265,60,cananeia_parelha_cam7b,2008,100,190.4931818,10,good,52.49531718
207,60,santos_parelha_cam7b,2009,500,257.5748221,9,good,194.1183521
85,60,RG_emalhe,2012,2000,1875.754363,6,good,106.6237691
37,60,RG_emalhe,2012,1600,1875.754363,6,good,85.29901524
833,61,Norte_linha,2006,110,62.86208005,12,good,174.9862555
786,61,Norte_linha,2007,100,69.25188317,11,good,144.4004053
616,61,PE_linha,2009,3.75,4.991738473,9,good,75.124128
609,61,PE_linha,2009,3.125,4.991738473,9,good,62.60344
398,61,ubatuba_parelha_cam7b,1999,30,41.13413333,19,good,72.93213099
369,61,santos_camrosa,2012,62.5,57.35779154,6,good,108.9651437
244,61,cananeia_parelha_cam7b,2006,70,203.725,12,good,34.36004418
47,61,RG_parelha,2011,4500,5025.350556,7,good,89.54599186
19,61,RG_simples,2013,3055.555556,5001.270014,5,good,61.09559266
664,62,PE_linha,2008,6.25,4.87655419,10,good,128.1642684
661,62,PE_linha,2008,6.25,4.87655419,10,good,128.1642684
617,62,PE_linha,2009,12.5,4.991738473,9,good,250.41376
453,62,ubatuba_emalhe_corvina,2008,1333.333333,370.1047027,10,good,360.2584143
435,62,ubatuba_emalhe_corvina,2008,300,370.1047027,10,good,81.05814323
430,62,ubatuba_emalhe_tainha,2008,150,34.9570339,10,good,429.0981907
383,62,ubatuba_parelha_cam7b,2011,66.66666667,39.82053333,7,good,167.4178146
378,62,ubatuba_emalhe_corvina,2014,60,138.9212658,4,good,43.18993183
359,62,santos_parelha_cam7b,2015,337.5,228.6011591,3,good,147.6370467
320,62,santos_parelha_multisp,2010,2666.666667,2707.255942,8,good,98.50072264
35,62,RG_parelha,2010,4583.333333,4970.813366,8,good,92.20489678
9,62,RG_simples,2015,4000,5281.246684,3,good,75.73969253
881,63,Norte_rede,2009,120,117.3683383,9,good,102.2422246
856,63,Norte_armadilha,2007,380,223.909902,11,good,169.7111189
815,63,Norte_armadilha,2009,1520,187.6934563,9,good,809.8311097
797,63,Norte_cerco,2005,42.85714286,149.5808873,13,good,28.65148324
738,63,PE_linha,2010,16.66666667,5.454443093,8,good,305.5612898
639,63,PE_linha,2007,10.41666667,5.156745486,11,good,202.0007909
625,63,PE_linha,2009,6.25,4.991738473,9,good,125.20688
373,63,ubatuba_emalhe_corvina,2010,60,242.7268981,8,good,24.71913928
352,63,santos_camrosa,2008,53.33333333,54.71630547,10,good,97.47246799
322,63,santos_parelha_multisp,2009,4166.666667,2700.018284,9,good,154.3199426
227,63,cananeia_emalhe_pescada,1997,80,84.20722611,21,good,95.00372319
218,63,santos_parelha_cam7b,2010,666.6666667,253.1843086,8,good,263.3127899
48,63,RG_parelha,2009,8181.818182,4916.025325,9,good,166.4315711
659,64,PE_linha,2008,12.5,4.87655419,10,good,256.3285368
654,64,PE_linha,1999,18.75,4.067501599,19,good,460.9709313
645,64,PE_linha,2008,55.55555556,4.87655419,10,good,1139.237941
607,64,PE_linha,2008,6.25,4.87655419,10,good,128.1642684
4,64,RG_parelha,2008,4545.454545,4861.902751,10,good,93.4912683
911,65,Norte_tarrafa,2009,10,64.57605012,9,good,15.48561732
649,65,PE_linha,2009,33.33333333,4.991738473,9,good,667.7700267
606,65,PE_linha,2007,5.555555556,5.156745486,11,good,107.7337551
463,65,ubatuba_camrosa,2008,40,25.16995865,10,good,158.9196095
368,65,santos_emalhe_pescada,2015,200,127.8792376,3,good,156.3975543
872,66,Norte_armadilha,2001,300,332.5592389,17,good,90.209492
794,66,Norte_rede,2006,40,117.8250011,12,good,33.94865235
637,66,PE_linha,2007,12.5,5.156745486,11,good,242.4009491
610,66,PE_linha,2008,6.25,4.87655419,10,good,128.1642684
608,66,PE_linha,2008,4.166666667,4.87655419,10,good,85.44284559
600,66,PE_linha,2008,12.5,4.87655419,10,good,256.3285368
436,66,ubatuba_emalhe_tainha,2015,300,30.23084746,3,good,992.3638442
374,66,ubatuba_emalhe_corvina,2011,30,194.1795292,7,good,15.44962032
372,66,santos_parelha_multisp,2012,2500,2722.586234,6,good,91.82445606
7,66,RG_emalhe,2010,1466.666667,1877.475633,8,good,78.11907867
802,67,Norte_rede,2007,100,117.6727802,11,good,84.98142037
662,67,PE_linha,2008,6.25,4.87655419,10,good,128.1642684
464,67,ubatuba_emalhe_tainha,1985,5000,50.4859322,33,good,9903.748989
458,67,ubatuba_emalhe_corvina,2015,50,147.7044607,3,good,33.85138117
306,67,cananeia_parelha_cam7b,2007,300,197.1090909,11,good,152.1999816
238,67,cananeia_parelha_cam7b,2007,266.6666667,197.1090909,11,good,135.2888725
882,68,Norte_linha,2003,25,57.31912871,15,good,43.61545711
865,68,Norte_rede,2001,100,118.5861059,17,good,84.32691102
667,68,PE_linha,2007,16.66666667,5.156745486,11,good,323.2012654
614,68,PE_linha,2008,6.25,4.87655419,10,good,128.1642684
449,68,ubatuba_emalhe_tainha,2007,400,35.63220339,11,good,1122.580031
379,68,ubatuba_parelha_cam7b,2008,30,40.14893333,10,good,74.72178589
228,68,cananeia_emalhe_pescada,2011,100,118.1719114,7,good,84.62247823
898,69,Norte_tarrafa,2008,40,62.06879463,10,good,64.44462187
456,69,ubatuba_emalhe_tainha,2007,200,35.63220339,11,good,561.2900157
441,69,ubatuba_camrosa,2008,58.33333333,25.16995865,10,good,231.7577639
793,70,Norte_rede,2001,66,118.5861059,17,good,55.65576127
632,70,PE_linha,2004,9.375,5.366253558,14,good,174.7028891
450,70,ubatuba_emalhe_tainha,2006,400,36.30737288,12,good,1101.704608
665,72,PE_linha,2009,10,4.991738473,9,good,200.331008
635,72,PE_linha,2010,6.25,5.454443093,8,good,114.5854837
604,72,PE_linha,2002,8.333333333,4.786497589,16,good,174.1008572
457,72,ubatuba_emalhe_tainha,2006,200,36.30737288,12,good,550.8523039
248,72,cananeia_parelha_cam7b,2007,300,197.1090909,11,good,152.1999816
217,72,santos_parelha_cam7b,2006,500,269.2834824,12,good,185.6779315
215,72,santos_parelha_cam7b,1985,166.6666667,275.7850846,33,good,60.43353175
821,73,Norte_armadilha,2006,506.6666667,242.0181248,12,good,209.3507117
638,73,PE_linha,2003,62.5,5.027605418,15,good,1243.136539
361,73,santos_camrosa,2010,80,56.0370485,8,good,142.7626939
446,74,ubatuba_emalhe_tainha,2006,150,36.30737288,12,good,413.1392279
424,74,ubatuba_parelha_cam7b,2011,200,39.82053333,7,good,502.2534438
784,75,Norte_linha,2003,26.66666667,57.31912871,15,good,46.52315425
465,75,ubatuba_emalhe_corvina,2001,500,594.3780558,17,good,84.12154438
418,75,ubatuba_emalhe_tainha,2010,300,33.60669492,8,good,892.6792733
337,76,santos_parelha_multisp,1992,2500,2666.172608,26,good,93.76737247
885,77,Norte_rede,2002,760,118.4338849,16,good,641.7082414
347,78,santos_parelha_cam7b,2010,200,253.1843086,8,good,78.99383698
925,82,Norte_linha,2005,30,58.42105218,13,good,51.35135175
452,82,ubatuba_emalhe_tainha,1989,3000,47.78525424,29,good,6278.087347
666,83,PE_linha,2004,4.166666667,5.366253558,14,good,77.64572847
427,84,ubatuba_emalhe_tainha,1996,3000,43.0590678,22,good,6967.17359
454,86,ubatuba_emalhe_tainha,1992,200,45.75974576,26,good,437.0653654
910,28,Norte_tarrafa,2009,10,64.57605012,9,good,15.48561732
922,29,Norte_linha,2006,30,62.86208005,12,good,47.72352422
