"","x"
"1",48.6848068539217
"2",33.4155826828435
"3",38.7577939716325
"4",35.8409372951114
"5",38.9104843529464
"6",33.1903206974534
"7",34.4999912144461
"8",29.0873517434605
"9",30.1333239591477
"10",26.9605279585812
"11",48.1536659821926
"12",13.9296667371641
"13",21.1266418379206
"14",8.36572653640028
"15",27.3127335071285
"16",-2.81451457574956
"17",-12.5313290189501
"18",-15.1964146573129
"19",12.2238446221955
"20",37.2489438925136
"21",-64.3388120696123
"22",-3.39295699115008
"23",29.9583820126427
"24",-102.101047537079
"25",-14.4013093241811
"26",21.7758222640192
"27",-42.9372811145543
"28",-114.475905438498
"29",-113.575445204001
"30",57.2052859036866
"31",46.9392470580005
"32",72.6739100264399
"33",33.2316453807116
"34",-52.7603889661908
"35",6.94431918933442
"36",33.2316453762424
"37",20.925599793005
"38",57.4728506592442
"39",15.1413099600684
"40",22.3108690211866
"41",11.923265046358
"42",-73.4051308996028
"43",8.73400520399287
"44",72.3019669144211
"45",45.3787170337344
"46",18.7722603716244
"47",10.9755271904971
"48",-3.48997030387372
"49",73.7652313090501
"50",14.1664773043095
"51",-49.89426306632
"52",-11.7782248050961
"53",-14.9963610020227
"54",69.8164219306519
"55",-181.914244626815
"56",23.4031743509331
"57",-44.9002066053194
"58",5.65056178396314
"59",-39.4584708775494
"60",-36.7420818806457
"61",29.6037224675806
"62",-67.3501650208112
"63",21.3929202157468
"64",-91.4975546553027
"65",11.694880738107
"66",-294.071607797529
"67",-117.328937699109
"68",1.61958968215653
"69",-37.1074215408834
"70",-32.4576788190805
"71",-41.7571642181542
"72",-16.6135708798149
"73",-111.852605821798
"74",32.4983729352266
"75",-71.3842768588987
"76",-39.4172956053081
"77",-57.2141596463357
"78",28.4178699874273
"79",-347.259662637164
"80",25.0014390714471
"81",23.1550015743688
"82",12.4120454796919
"83",-70.7880617287767
"84",17.4245265949926
"85",17.4245263887353
"86",20.2702892112418
"87",36.2279262425122
"88",-257.639677720698
"89",-299.906309224347
"90",12.5801082127184
"91",-2.38715290005872
"92",-8.00260318345953
"93",-8.00260303444908
"94",23.4096804940691
"95",-7.58299761185333
"96",-9.90298641247474
"97",-24.9977317742923
"98",-0.470298942552063
"99",-35.7698600007731
"100",-36.5767751038553
"101",-38.4125493871559
"102",-38.1502956361997
"103",-9.88938935549561
"104",-29.2929017818843
"105",-54.4346076505341
"106",-64.5215381487774
"107",-14.9090842555919
"108",-65.7803547925208
"109",-15.4200422934593
"110",-55.1460093722915
"111",-150.09129795573
"112",-37.2715540485595
"113",-116.471779508962
"114",-127.583965288726
"115",-91.5151397080378
"116",-176.825098014649
"117",26.7828481649026
"118",-9.35503611522106
"119",48.6848068539217
"120",38.7577939716325
"121",35.8409372951114
"122",38.9104843529464
"123",33.1903206974534
"124",34.4999912144461
"125",26.9605279585812
"126",48.1536659821926
"127",13.9296667371641
"128",21.1266418379206
"129",41.0917368160015
"130",27.3127335071285
"131",-31.0000175876173
"132",-2.81451457574956
"133",-28.548864397271
"134",95.352256831318
"135",41.3663593588659
"136",-12.5313290189501
"137",-15.1964146573129
"138",12.2238446221955
"139",37.2489438925136
"140",-64.3388120696123
"141",-2.9484346105077
"142",29.9583820126427
"143",-102.101047537079
"144",36.1289633415609
"145",-13.6128751814185
"146",-14.4013093241811
"147",21.7758222640192
"148",-42.9372811145543
"149",-114.475905438498
"150",-113.575445204001
"151",72.6739100264399
"152",32.3584556937756
"153",33.2316453807116
"154",-52.7603889661908
"155",6.94431918933442
"156",33.2316453762424
"157",14.0746580481123
"158",15.1413099600684
"159",11.923265046358
"160",-73.4051308996028
"161",45.3787170337344
"162",18.7722603716244
"163",10.9755271904971
"164",-3.48997030387372
"165",73.7652313090501
"166",14.1664773043095
"167",-2.05536567483483
"168",-49.89426306632
"169",-11.7782248050961
"170",-14.9963610020227
"171",69.8164219306519
"172",-181.914244626815
"173",23.4031743509331
"174",-40.9227759010947
"175",5.65056178396314
"176",-39.4584708775494
"177",-36.7420818806457
"178",29.6037224675806
"179",-67.3501650208112
"180",26.3970330145571
"181",21.3929202157468
"182",-91.4975546553027
"183",11.694880738107
"184",-294.071607797529
"185",-117.328937699109
"186",1.61958968215653
"187",-37.1074215408834
"188",-32.4576788190805
"189",-95.5638224090795
"190",-41.7571642181542
"191",-16.6135708798149
"192",-111.852605821798
"193",-71.3842768588987
"194",32.2361194416408
"195",-39.4172956053081
"196",-57.2141596463357
"197",-347.259662637164
"198",17.4245265949926
"199",17.4245263887353
"200",20.2702892112418
"201",36.2279262425122
"202",-257.639677720698
"203",-299.906309224347
"204",-9.2614199155059
"205",-8.00260318345953
"206",-8.00260303444908
"207",-135.237748824083
"208",-7.58299761185333
"209",-9.90298641247474
"210",-24.9977317742923
"211",-0.470298942552063
"212",-35.7698600007731
"213",-388.909555917985
"214",-36.5767751038553
"215",-38.4125493871559
"216",2.1645852114194
"217",-9.88938935549561
"218",-29.2929017818843
"219",-47.0805784340167
"220",-59.0417614728807
"221",-64.5215381487774
"222",-70.6879731614168
"223",-14.9090842555919
"224",-65.7803547925208
"225",-15.4200422934593
"226",-55.1460093722915
"227",-98.2801270061584
"228",-292.062914660679
"229",-133.745950549108
"230",-150.09129795573
"231",-37.2715540485595
"232",-116.471779508962
"233",-127.583965288726
"234",-176.825098014649
"235",50.6075134391072
"236",-383.95549805228
"237",26.7828481649026
"238",14.7099800845025
"239",-32.6733634509181
"240",33.4155826828435
"241",38.7577939716325
"242",35.8409372951114
"243",33.1903206974534
"244",29.0873517434605
"245",30.1333239591477
"246",26.9605279585812
"247",13.9296667371641
"248",21.1266418379206
"249",8.36572653640028
"250",41.0917368160015
"251",27.3127335071285
"252",-31.0000175876173
"253",-2.81451457574956
"254",-28.548864397271
"255",95.352256831318
"256",41.3663593588659
"257",-12.5313290189501
"258",12.2238446221955
"259",12.2238446221955
"260",37.2489438925136
"261",-64.3388120696123
"262",-2.9484346105077
"263",-3.39295699115008
"264",29.9583820126427
"265",-102.101047537079
"266",36.1289633415609
"267",-13.6128751814185
"268",-14.4013093241811
"269",21.7758222640192
"270",-42.9372811145543
"271",-113.575445204001
"272",57.2052859036866
"273",46.9392470580005
"274",72.6739100264399
"275",32.3584556937756
"276",33.2316453807116
"277",-52.7603889661908
"278",6.94431918933442
"279",33.2316453762424
"280",20.925599793005
"281",14.0746580481123
"282",57.4728506592442
"283",15.1413099600684
"284",22.3108690211866
"285",8.73400520399287
"286",72.3019669144211
"287",18.7722603716244
"288",10.9755271904971
"289",73.7652313090501
"290",-2.05536567483483
"291",-49.89426306632
"292",-14.9963610020227
"293",-181.914244626815
"294",-40.9227759010947
"295",-44.9002066053194
"296",29.6037224675806
"297",-67.3501650208112
"298",26.3970330145571
"299",21.3929202157468
"300",11.694880738107
"301",-294.071607797529
"302",-95.5638224090795
"303",-111.852605821798
"304",32.4983729352266
"305",-71.3842768588987
"306",32.2361194416408
"307",-57.2141596463357
"308",28.4178699874273
"309",-347.259662637164
"310",25.0014390714471
"311",23.1550015743688
"312",12.4120454796919
"313",-70.7880617287767
"314",17.4245265949926
"315",12.5801082127184
"316",-2.38715290005872
"317",-9.2614199155059
"318",-8.00260318345953
"319",-135.237748824083
"320",23.4096804940691
"321",-7.58299761185333
"322",-9.90298641247474
"323",-35.7698600007731
"324",-388.909555917985
"325",-36.5767751038553
"326",-38.4125493871559
"327",-38.1502956361997
"328",2.1645852114194
"329",-9.88938935549561
"330",-29.2929017818843
"331",-47.0805784340167
"332",-54.4346076505341
"333",-59.0417614728807
"334",-70.6879731614168
"335",-14.9090842555919
"336",-65.7803547925208
"337",-15.4200422934593
"338",-98.2801270061584
"339",-292.062914660679
"340",-133.745950549108
"341",-150.09129795573
"342",-37.2715540485595
"343",-116.471779508962
"344",-91.5151397080378
"345",-176.825098014649
"346",50.6075134391072
"347",-383.95549805228
"348",14.7099800845025
"349",-9.35503611522106
"350",-32.6733634509181
"351",48.6848068539217
"352",33.4155826828435
"353",35.8409372951114
"354",38.9104843529464
"355",34.4999912144461
"356",29.0873517434605
"357",30.1333239591477
"358",48.1536659821926
"359",13.9296667371641
"360",8.36572653640028
"361",41.0917368160015
"362",27.3127335071285
"363",-31.0000175876173
"364",-28.548864397271
"365",95.352256831318
"366",41.3663593588659
"367",-12.5313290189501
"368",-15.1964146573129
"369",12.2238446221955
"370",12.2238446221955
"371",37.2489438925136
"372",-64.3388120696123
"373",-2.9484346105077
"374",-3.39295699115008
"375",36.1289633415609
"376",-13.6128751814185
"377",-114.475905438498
"378",57.2052859036866
"379",46.9392470580005
"380",72.6739100264399
"381",32.3584556937756
"382",-52.7603889661908
"383",6.94431918933442
"384",20.925599793005
"385",14.0746580481123
"386",57.4728506592442
"387",15.1413099600684
"388",22.3108690211866
"389",11.923265046358
"390",-73.4051308996028
"391",8.73400520399287
"392",72.3019669144211
"393",45.3787170337344
"394",10.9755271904971
"395",-3.48997030387372
"396",73.7652313090501
"397",14.1664773043095
"398",-2.05536567483483
"399",-49.89426306632
"400",-11.7782248050961
"401",-14.9963610020227
"402",69.8164219306519
"403",-181.914244626815
"404",23.4031743509331
"405",-40.9227759010947
"406",-44.9002066053194
"407",5.65056178396314
"408",-39.4584708775494
"409",-36.7420818806457
"410",26.3970330145571
"411",-91.4975546553027
"412",11.694880738107
"413",-294.071607797529
"414",-117.328937699109
"415",1.61958968215653
"416",-37.1074215408834
"417",-32.4576788190805
"418",-95.5638224090795
"419",-41.7571642181542
"420",-16.6135708798149
"421",-111.852605821798
"422",32.4983729352266
"423",-71.3842768588987
"424",32.2361194416408
"425",-39.4172956053081
"426",-57.2141596463357
"427",28.4178699874273
"428",-347.259662637164
"429",25.0014390714471
"430",23.1550015743688
"431",12.4120454796919
"432",-70.7880617287767
"433",17.4245265949926
"434",17.4245263887353
"435",20.2702892112418
"436",36.2279262425122
"437",-257.639677720698
"438",-299.906309224347
"439",12.5801082127184
"440",-2.38715290005872
"441",-9.2614199155059
"442",-8.00260303444908
"443",-135.237748824083
"444",23.4096804940691
"445",-9.90298641247474
"446",-24.9977317742923
"447",-0.470298942552063
"448",-388.909555917985
"449",-38.1502956361997
"450",2.1645852114194
"451",-9.88938935549561
"452",-47.0805784340167
"453",-54.4346076505341
"454",-59.0417614728807
"455",-64.5215381487774
"456",-70.6879731614168
"457",-55.1460093722915
"458",-98.2801270061584
"459",-292.062914660679
"460",-133.745950549108
"461",-127.583965288726
"462",-91.5151397080378
"463",-176.825098014649
"464",50.6075134391072
"465",-383.95549805228
"466",26.7828481649026
"467",14.7099800845025
"468",-9.35503611522106
"469",-32.6733634509181
"470",48.6848068539217
"471",33.4155826828435
"472",38.7577939716325
"473",38.9104843529464
"474",33.1903206974534
"475",34.4999912144461
"476",29.0873517434605
"477",30.1333239591477
"478",26.9605279585812
"479",48.1536659821926
"480",21.1266418379206
"481",8.36572653640028
"482",41.0917368160015
"483",-31.0000175876173
"484",-2.81451457574956
"485",-28.548864397271
"486",95.352256831318
"487",41.3663593588659
"488",-15.1964146573129
"489",12.2238446221955
"490",12.2238446221955
"491",-2.9484346105077
"492",-3.39295699115008
"493",29.9583820126427
"494",-102.101047537079
"495",36.1289633415609
"496",-13.6128751814185
"497",-14.4013093241811
"498",21.7758222640192
"499",-42.9372811145543
"500",-114.475905438498
"501",-113.575445204001
"502",57.2052859036866
"503",46.9392470580005
"504",32.3584556937756
"505",33.2316453807116
"506",33.2316453762424
"507",20.925599793005
"508",14.0746580481123
"509",57.4728506592442
"510",22.3108690211866
"511",11.923265046358
"512",-73.4051308996028
"513",8.73400520399287
"514",72.3019669144211
"515",45.3787170337344
"516",18.7722603716244
"517",-3.48997030387372
"518",14.1664773043095
"519",-2.05536567483483
"520",-11.7782248050961
"521",69.8164219306519
"522",23.4031743509331
"523",-40.9227759010947
"524",-44.9002066053194
"525",5.65056178396314
"526",-39.4584708775494
"527",-36.7420818806457
"528",29.6037224675806
"529",-67.3501650208112
"530",26.3970330145571
"531",21.3929202157468
"532",-91.4975546553027
"533",-117.328937699109
"534",1.61958968215653
"535",-37.1074215408834
"536",-32.4576788190805
"537",-95.5638224090795
"538",-41.7571642181542
"539",-16.6135708798149
"540",32.4983729352266
"541",32.2361194416408
"542",-39.4172956053081
"543",28.4178699874273
"544",25.0014390714471
"545",23.1550015743688
"546",12.4120454796919
"547",-70.7880617287767
"548",17.4245263887353
"549",20.2702892112418
"550",36.2279262425122
"551",-257.639677720698
"552",-299.906309224347
"553",12.5801082127184
"554",-2.38715290005872
"555",-9.2614199155059
"556",-8.00260318345953
"557",-8.00260303444908
"558",-135.237748824083
"559",23.4096804940691
"560",-7.58299761185333
"561",-24.9977317742923
"562",-0.470298942552063
"563",-35.7698600007731
"564",-388.909555917985
"565",-36.5767751038553
"566",-38.4125493871559
"567",-38.1502956361997
"568",2.1645852114194
"569",-29.2929017818843
"570",-47.0805784340167
"571",-54.4346076505341
"572",-59.0417614728807
"573",-64.5215381487774
"574",-70.6879731614168
"575",-14.9090842555919
"576",-65.7803547925208
"577",-15.4200422934593
"578",-55.1460093722915
"579",-98.2801270061584
"580",-292.062914660679
"581",-133.745950549108
"582",-150.09129795573
"583",-37.2715540485595
"584",-116.471779508962
"585",-127.583965288726
"586",-91.5151397080378
"587",50.6075134391072
"588",-383.95549805228
"589",26.7828481649026
"590",14.7099800845025
"591",-9.35503611522106
"592",-32.6733634509181
