"","Var1","Freq"
"1","Min.",-326.025867939518
"2","1st Qu.",-10.7851351127947
"3","Median",-1.57925373695577
"4","Mean",-8.17399447346308
"5","3rd Qu.",3.59707714931132
"6","Max.",66.2907333463504
