"","Var1","Freq"
"1","Min.",-303.040610392938
"2","1st Qu.",-10.7661755886414
"3","Median",-0.890187089634095
"4","Mean",-8.41167436525987
"5","3rd Qu.",4.87390994912294
"6","Max.",67.2610220872316
